Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
House,PKR4.5 Crore,,,,"Allama Iqbal Town, Lahore, Punjab",3,10 Marla,For Sale,4,2 hours ago,"['Main Features, Parking Spaces: 1, Flooring, Electricity Backup']","['Rooms, Bedrooms: 4, Bathrooms: 4, Kitchens: 2']",[],[]
House,PKR1.8 Crore,,,,"Nawab Town, Lahore, Punjab",4,5 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR6.5 Crore,,,,"Garden Town, Lahore, Punjab",4,1 Kanal,For Sale,4,2 hours ago,"['Main Features, Parking Spaces: 2, Flooring, Electricity Backup']","['Rooms, Bedrooms: 4, Bathrooms: 4, Kitchens: 2']",[],[]
House,PKR1.65 Crore,,,,"Park View City, Lahore, Punjab",4,5 Marla,For Sale,4,2 hours ago,"['Main Features, Built in year: 2023 Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2 Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR1.55 Crore,,,,"Park View City, Lahore, Punjab",4,5 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR90 Lakh,,,,"Mozang, Lahore, Punjab",2,3.1 Marla,For Sale,2,2 hours ago,"['Main Features, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Lounge or Sitting Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Mosque']"
House,PKR2.75 Crore,,,,"DHA Defence, Lahore, Punjab",4,5 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.8 Crore,,,,"Park View City, Lahore, Punjab",5,5 Marla,For Sale,4,2 hours ago,"['Rooms, Bedrooms: 4, Bathrooms: 5, Kitchens: 2']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Restaurants']",[]
Flat,PKR3.85 Crore,PKR38.51 Lakh,PKR5.78 Lakh,60 Months,"Bahria Town Rawalpindi, Rawalpindi, Punjab",2,5 Marla,For Sale,2,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building: 5, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR18.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.2 Kanal,For Sale,6,6 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 3, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 3, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR2.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,7 Marla,For Sale,5,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 2, Floors in Building: 5, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR3.4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10.9 Marla,For Sale,5,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR3.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,10 Marla,For Sale,4,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.25 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",3,5 Marla,For Sale,3,1 hour ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Sewerage, Electricity, Water Supply, Sui Gas']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR7.4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,14 Marla,For Sale,5,2 hours ago,"['Rooms, Drawing Room, Dining Room, Laundry Room']","['Plot Features, Sewerage, Electricity, Water Supply']","['Community Features, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']"
House,PKR9.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.3 Kanal,For Sale,5,4 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 5, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Powder Room Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
Flat,PKR3.45 Crore,,,,"Askari 13, Rawalpindi, Punjab",3,10 Marla,For Sale,3,5 hours ago,"['Main Features, Built in year, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 5, Floors: 3, Floors in Building: 7, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.85 Crore,,,,"Chaklala Scheme, Rawalpindi, Punjab",5,5 Marla,For Sale,4,5 hours ago,"['Main Features, Built in year: 2021, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Swimming Pool, First Aid or Medical Centre, Kids Play Area, Mosque']"
House,PKR5.3 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,40 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors: 2, Floors in Building: 7, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR4.4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,1 hour ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Waste Disposal']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque']"
House,PKR1.85 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",4,5 Marla,For Sale,3,18 minutes ago,"['Main Features, Built in year: 2020, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors in Building: 6, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR8.5 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,7,20 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.4 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,21 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Lounge or Sitting Room, Laundry Room']","['Community Features, Mosque, Community Centre']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service']"
House,PKR6.7 Crore,,,,"Askari 14, Rawalpindi, Punjab",4,14 Marla,For Sale,4,43 minutes ago,"['Main Features, Built in year: 2016, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
,,,,,,,,,,,[],[],[],[]
House,PKR12 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.2 Kanal,For Sale,6,21 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Prayer Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Mosque, Community Centre']"
House,PKR9 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1 Kanal,For Sale,7,35 minutes ago,"['Main Features, Built in year: 2022, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Waste Disposal']","['Rooms, Bedrooms: 7, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR77 Lakh,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",1,3.5 Marla,For Sale,2,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building: 3, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR2.9 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,7 Marla,For Sale,5,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building: 11, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room']","['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR3.8 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Elevators: 03, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.95 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",4,5 Marla,For Sale,3,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR2.3 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",4,5 Marla,For Sale,3,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Other Community Facilities']"
House,PKR2.45 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,7 Marla,For Sale,5,45 minutes ago,"['Main Features, Parking Spaces, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 2, Lounge or Sitting Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Other Community Facilities']"
House,PKR14.75 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,1.2 Kanal,For Sale,5,9 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque']"
House,PKR3.45 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,16 hours ago,"['Main Features, Built in year: 2010, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']",[],[]
House,PKR4.75 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",5,10 Marla,For Sale,5,23 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3.85 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10.9 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR4.7 Crore,,,,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR5.2 Crore,,,,"Chaklala Scheme, Rawalpindi, Punjab",6,15 Marla,For Sale,5,5 hours ago,"['Main Features, Built in year: 2012, Parking Spaces: 4, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Kitchens: 1, Store Rooms: 11']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']"
House,PKR3.2 Crore,,,,"Chaklala Scheme, Rawalpindi, Punjab",4,10 Marla,For Sale,5,5 hours ago,"['Main Features, Built in year: 2013, Parking Spaces: 2, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5, Bathrooms: 4, Servant Quarters: 1, Kitchens: 2']",[],[]
House,PKR1.3 Crore,,,,"Chaklala Scheme, Rawalpindi, Punjab",5,5 Marla,For Sale,4,5 hours ago,"['Main Features, Built in year: 2018, Parking Spaces: 1, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 5, Kitchens: 2, Store Rooms: 1']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']",[]
